CO2 emissions (kt),EN.ATM.CO2E.KT,Cyprus,CYP,7502.682,7788.708,8195.745,8577.113,8111.404,7708.034,7425.675,6919.629,5947.874,6061.551,6138.558,6626.269,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Czech Republic,CZE,120094.25,122092.765,123288.207,116716.943,107710.791,112745.582,107993.15,103350.728,102012.273,97160.832,99852.41,102217.625,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Denmark,DNK,47062.278,55019.668,50318.574,47421.644,44488.044,45815.498,40656.029,36427.978,37253.053,33146.013,30817.468,31785.556,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Djibouti,DJI,414.371,410.704,462.042,498.712,458.375,517.047,473.043,480.377,572.052,612.389,627.057,619.723,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominica,DMA,143.013,143.013,183.35,165.015,161.348,172.349,154.014,165.015,168.682,176.016,176.016,179.683,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominican Republic,DOM,18639.361,19783.465,21173.258,20711.216,20227.172,21022.911,21767.312,21965.33,21473.952,22145.013,24136.194,25258.296,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Ecuador,ECU,30263.751,28859.29,31924.902,33868.412,36068.612,36460.981,36482.983,32526.29,41451.768,46152.862,43270.6,41154.741,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Egypt, Arab Rep.",EGY,167207.866,178586.567,189092.522,198586.385,206734.459,202715.427,217412.763,220108.008,214402.156,227852.712,224581.748,238560.352,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,El Salvador,SLV,6402.582,6842.622,6978.301,6541.928,6442.919,6457.587,6648.271,6662.939,6230.233,6285.238,6849.956,7168.985,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Equatorial Guinea,GNQ,7532.018,8181.077,7865.715,6428.251,6776.616,6893.96,9398.521,6985.635,7700.7,7308.331,6028.548,5654.514,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Eritrea,ERI,766.403,550.05,564.718,407.037,502.379,502.379,579.386,645.392,652.726,711.398,693.063,711.398,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Estonia,EST,16754.523,16175.137,18357.002,17018.547,14312.301,17781.283,18096.645,17146.892,19332.424,18173.652,16362.154,16589.508,..,..,..,..
